tempo,quantidadePAs,betweenness,degree,closeness,eigenvector,lifespan,mobility,fragmentationImpact,kConnectivity,density,number_of_cars
130,12,0.0181,3.0833,0.0576,0.0099,5.3333,23.4862,36.0000,2.1667,0.0031,8.4167
131,15,0.0162,3.1333,0.0542,0.0079,5.4000,45.5743,36.0000,2.2000,0.0027,6.8000
132,14,0.0154,2.8571,0.0542,0.0062,5.5714,18.2601,36.0714,2.0000,0.0029,7.3571
133,9,0.0025,3.4444,0.0485,0.0016,7.1111,23.8380,38.0000,1.6667,0.0047,11.3333
134,10,0.0173,3.9000,0.0687,0.0169,6.6000,34.9976,37.1000,2.4000,0.0045,10.3000
135,12,0.0077,3.0833,0.0502,0.0095,6.6667,103.9826,34.0833,2.1667,0.0040,8.5000
136,18,0.0104,3.8889,0.0739,0.0240,9.9444,60.3002,34.0556,2.1667,0.0027,5.7778
137,21,0.0099,3.3810,0.0612,0.0109,9.2381,30.0362,31.0476,2.0952,0.0023,4.9524
138,15,0.0129,3.8667,0.0713,0.0099,9.9333,39.3184,32.1333,2.0000,0.0033,7.0000
139,11,0.0145,4.0000,0.0687,0.0121,11.1818,11.3239,33.1818,2.0909,0.0043,9.6364
140,12,0.0041,3.0000,0.0462,0.0103,13.5000,83.2346,34.0833,1.5000,0.0038,8.9167
141,10,0.0055,3.3000,0.0612,0.0113,14.1000,27.5228,35.0000,1.5000,0.0048,10.7000
142,5,0.0006,2.4000,0.0261,0.0000,12.4000,11.6693,38.0000,1.2000,0.0097,21.4000
143,10,0.0037,2.6000,0.0487,0.0003,9.8000,46.7350,35.1000,1.1000,0.0049,10.7000
144,10,0.0034,3.0000,0.0521,0.0028,10.4000,49.4090,39.0000,1.1000,0.0047,10.7000
145,11,0.0046,2.6364,0.0438,0.0005,11.0909,30.2612,41.0000,1.5455,0.0042,9.8182
146,13,0.0065,2.6154,0.0642,0.0022,13.8462,14.3421,39.0769,1.5385,0.0036,8.3077
147,7,0.0026,3.0000,0.0436,0.0019,13.2857,29.8359,40.0000,1.2857,0.0071,15.2857
148,10,0.0057,2.9000,0.0524,0.0006,11.4000,18.0276,38.1000,1.3000,0.0052,10.7000
149,12,0.0076,3.5000,0.0691,0.0081,10.7500,18.0909,36.0000,1.3333,0.0046,8.8333
150,11,0.0023,3.1818,0.0459,0.0034,8.3636,51.4831,35.0000,1.0909,0.0051,9.6364
151,8,0.0030,3.6250,0.0570,0.0032,10.1250,61.7105,37.0000,1.2500,0.0072,13.3750
152,6,0.0116,3.6667,0.0771,0.0008,15.5000,70.4786,38.0000,1.3333,0.0099,17.6667
153,10,0.0113,3.0000,0.0665,0.0036,14.2000,82.3326,35.0000,1.4000,0.0062,10.7000
154,6,0.0211,3.6667,0.0995,0.0084,21.0000,62.0732,38.0000,1.8333,0.0105,17.6667
155,7,0.0139,3.7143,0.0774,0.0097,22.8571,22.6944,35.0000,1.7143,0.0091,15.1429
156,6,0.0217,4.1667,0.1182,0.0140,22.8333,32.4368,36.0000,1.8333,0.0105,17.6667
